구분,충전소ID(cs_id),충전소명(cs_name),우편번호(zcode),충전기명(cp_name),커넥터 ID(connector_id),충전시작일시(start_timestamp),충전종료일시(stop_timestamp),충전시간(charging_time),충전요금(합계) (charging_fee),hour,charging_type
96,1,한전KDN 본사,58322,급속-100-02,1.0,2025-09-22 13:13:00,2025-09-22 14:02,0:49:45,15930,13.0,급속
97,1,한전KDN 본사,58322,완속-007-01,2.0,2025-09-21 14:01:00,2025-09-22 13:43,23:41:32,23658,14.0,완속
98,1,한전KDN 본사,58322,완속-007-01,5.0,2025-09-20 18:02:00,2025-09-22 9:55,39:53:28,13514,18.0,완속
99,1,한전KDN 본사,58322,급속-200-01,1.0,2025-09-22 08:58:00,2025-09-22 9:47,0:49:13,25356,8.0,급속
100,1,한전KDN 본사,58322,급속-200-01,1.0,2025-09-21 16:15:00,2025-09-21 16:30,0:15:00,8733,16.0,급속
101,1,한전KDN 본사,58322,완속-007-01,2.0,2025-09-20 20:35:00,2025-09-21 9:45,13:09:51,14751,20.0,완속
102,1,한전KDN 본사,58322,완속-007-01,2.0,2025-09-19 20:42:00,2025-09-20 17:51,21:08:30,22625,20.0,완속
103,1,한전KDN 본사,58322,완속-007-01,4.0,2025-09-19 15:29:00,2025-09-20 13:04,21:35:11,11803,15.0,완속
104,1,한전KDN 본사,58322,완속-007-01,3.0,2025-09-18 08:35:00,2025-09-19 18:58,34:23:32,16056,8.0,완속
105,1,한전KDN 본사,58322,급속-100-01,1.0,2025-09-19 17:39:00,2025-09-19 18:09,0:29:40,13685,17.0,급속
106,1,한전KDN 본사,58322,급속-100-02,2.0,2025-09-19 13:30:00,2025-09-19 15:04,1:33:44,24866,13.0,급속
107,1,한전KDN 본사,58322,완속-007-01,4.0,2025-09-19 07:57:00,2025-09-19 14:59,7:01:23,14021,7.0,완속
108,1,한전KDN 본사,58322,급속-100-01,2.0,2025-09-19 08:05:00,2025-09-19 9:31,1:25:48,37378,8.0,급속
109,1,한전KDN 본사,58322,완속-007-01,1.0,2025-09-18 09:18:00,2025-09-18 19:44,10:25:50,159,9.0,완속
110,1,한전KDN 본사,58322,급속-200-01,1.0,2025-09-18 17:55:00,2025-09-18 18:36,0:41:00,19005,17.0,급속
111,1,한전KDN 본사,58322,급속-200-01,1.0,2025-09-18 15:42:00,2025-09-18 16:25,0:42:53,19282,15.0,급속
112,1,한전KDN 본사,58322,완속-007-01,2.0,2025-09-17 16:36:00,2025-09-18 10:25,17:48:34,22082,16.0,완속
113,1,한전KDN 본사,58322,완속-007-01,1.0,2025-09-17 23:33:00,2025-09-18 8:30,8:57:28,9965,23.0,완속
114,1,한전KDN 본사,58322,완속-007-01,3.0,2025-09-17 18:07:00,2025-09-18 8:01,13:53:35,12234,18.0,완속
115,1,한전KDN 본사,58322,급속-100-02,1.0,2025-09-17 18:07:00,2025-09-17 18:22,0:14:36,7495,18.0,급속
116,1,한전KDN 본사,58322,완속-007-01,3.0,2025-09-17 08:13:00,2025-09-17 12:54,4:41:11,7527,8.0,완속
117,1,한전KDN 본사,58322,완속-007-01,1.0,2025-09-17 07:35:00,2025-09-17 11:50,4:14:08,9372,7.0,완속
118,1,한전KDN 본사,58322,완속-007-01,4.0,2025-09-17 07:43:00,2025-09-17 10:34,2:51:07,2422,7.0,완속
119,1,한전KDN 본사,58322,급속-100-01,2.0,2025-09-17 08:13:00,2025-09-17 8:37,0:24:04,4816,8.0,급속
120,1,한전KDN 본사,58322,완속-007-01,3.0,2025-09-16 12:36:00,2025-09-16 19:42,7:06:23,6085,12.0,완속
121,1,한전KDN 본사,58322,급속-100-01,1.0,2025-09-16 17:41:00,2025-09-16 18:03,0:22:12,9806,17.0,급속
122,1,한전KDN 본사,58322,급속-200-01,1.0,2025-09-16 13:59:00,2025-09-16 14:53,0:54:53,25043,13.0,급속
123,1,한전KDN 본사,58322,급속-100-01,1.0,2025-09-16 12:52:00,2025-09-16 13:35,0:43:10,15955,12.0,급속
124,1,한전KDN 본사,58322,완속-007-01,1.0,2025-09-16 08:03:00,2025-09-16 10:24,2:21:16,4990,8.0,완속
125,1,한전KDN 본사,58322,완속-007-01,2.0,2025-09-15 15:05:00,2025-09-16 9:37,18:32:05,6398,15.0,완속
126,1,한전KDN 본사,58322,완속-007-01,4.0,2025-09-15 20:55:00,2025-09-16 7:40,10:44:37,13520,20.0,완속
127,1,한전KDN 본사,58322,급속-200-01,2.0,2025-09-16 03:52:00,2025-09-16 4:09,0:16:58,6409,3.0,급속
128,1,한전KDN 본사,58322,완속-007-01,1.0,2025-09-15 07:38:00,2025-09-15 18:05,10:27:09,13432,7.0,완속
129,1,한전KDN 본사,58322,급속-100-01,1.0,2025-09-15 16:54:00,2025-09-15 17:39,0:45:19,18443,16.0,급속
130,1,한전KDN 본사,58322,급속-100-02,1.0,2025-09-15 16:01:00,2025-09-15 17:13,1:12:09,26385,16.0,급속
131,1,한전KDN 본사,58322,급속-200-01,2.0,2025-09-15 16:43:00,2025-09-15 17:00,0:17:39,6534,16.0,급속
132,1,한전KDN 본사,58322,급속-100-02,2.0,2025-09-15 13:17:00,2025-09-15 15:04,1:46:41,16371,13.0,급속
133,1,한전KDN 본사,58322,급속-100-01,1.0,2025-09-15 09:01:00,2025-09-15 10:08,1:06:20,26015,9.0,급속
134,1,한전KDN 본사,58322,급속-200-01,1.0,2025-09-15 08:33:00,2025-09-15 9:00,0:27:23,17665,8.0,급속
135,1,한전KDN 본사,58322,완속-007-01,1.0,2025-09-12 17:54:00,2025-09-14 16:08,46:13:29,11713,17.0,완속
136,1,한전KDN 본사,58322,급속-200-01,1.0,2025-09-14 12:18:00,2025-09-14 12:50,0:31:17,13560,12.0,급속
137,1,한전KDN 본사,58322,급속-200-01,2.0,2025-09-14 09:42:00,2025-09-14 10:12,0:29:41,2850,9.0,급속
138,1,한전KDN 본사,58322,완속-007-01,5.0,2025-09-12 17:03:00,2025-09-12 21:57,4:54:27,0,17.0,완속
139,1,한전KDN 본사,58322,완속-007-01,1.0,2025-09-12 07:23:00,2025-09-12 17:17,9:53:30,20167,7.0,완속
140,1,한전KDN 본사,58322,완속-007-01,5.0,2025-09-12 12:47:00,2025-09-12 15:58,3:10:52,7181,12.0,완속
141,1,한전KDN 본사,58322,완속-007-01,2.0,2025-09-11 19:48:00,2025-09-12 8:43,12:54:35,22515,19.0,완속
142,1,한전KDN 본사,58322,완속-007-01,1.0,2025-09-11 14:56:00,2025-09-11 14:56,0:00:03,0,14.0,완속
143,1,한전KDN 본사,58322,완속-007-01,2.0,2025-09-11 13:14:00,2025-09-11 13:16,0:01:20,44,13.0,완속
144,1,한전KDN 본사,58322,완속-007-01,1.0,2025-09-11 07:41:00,2025-09-11 12:11,4:29:26,9901,7.0,완속
145,1,한전KDN 본사,58322,완속-007-01,2.0,2025-09-10 21:14:00,2025-09-11 10:21,13:06:55,0,21.0,완속
146,1,한전KDN 본사,58322,급속-100-01,2.0,2025-09-11 09:02:00,2025-09-11 10:08,1:06:20,18082,9.0,급속
147,1,한전KDN 본사,58322,급속-200-01,2.0,2025-09-11 08:54:00,2025-09-11 9:53,0:58:54,25727,8.0,급속
148,1,한전KDN 본사,58322,급속-100-01,1.0,2025-09-11 08:39:00,2025-09-11 9:52,1:12:46,22499,8.0,급속
149,1,한전KDN 본사,58322,급속-100-02,1.0,2025-09-11 08:31:00,2025-09-11 9:09,0:38:42,3817,8.0,급속
150,1,한전KDN 본사,58322,완속-007-01,1.0,2025-09-10 19:09:00,2025-09-11 7:21,12:11:54,7143,19.0,완속
151,1,한전KDN 본사,58322,완속-007-01,2.0,2025-09-10 15:20:00,2025-09-10 17:09,1:48:50,3881,15.0,완속
152,1,한전KDN 본사,58322,급속-200-01,2.0,2025-09-10 16:37:00,2025-09-10 16:45,0:07:52,6485,16.0,급속
153,1,한전KDN 본사,58322,급속-100-01,1.0,2025-09-10 14:37:00,2025-09-10 15:08,0:30:23,11912,14.0,급속
154,1,한전KDN 본사,58322,완속-007-01,2.0,2025-09-10 13:59:00,2025-09-10 14:01,0:01:10,37,13.0,완속
155,1,한전KDN 본사,58322,급속-200-01,1.0,2025-09-10 13:25:00,2025-09-10 13:56,0:30:39,7391,13.0,급속
156,1,한전KDN 본사,58322,완속-007-01,,,2025-09-10 13:15,,0,,완속
157,1,한전KDN 본사,58322,완속-007-01,5.0,2025-09-10 07:18:00,2025-09-10 13:12,5:53:15,12377,7.0,완속
158,1,한전KDN 본사,58322,완속-007-01,2.0,2025-09-10 08:23:00,2025-09-10 11:00,2:36:58,5771,8.0,완속
159,1,한전KDN 본사,58322,급속-100-01,1.0,2025-09-10 10:44:00,2025-09-10 10:58,0:14:05,5000,10.0,급속
160,1,한전KDN 본사,58322,완속-007-01,3.0,2025-09-05 13:17:00,2025-09-10 10:35,117:18:19,6856,13.0,완속
161,1,한전KDN 본사,58322,급속-100-02,1.0,2025-09-09 17:49:00,2025-09-09 18:12,0:22:39,9289,17.0,급속
162,1,한전KDN 본사,58322,완속-007-01,5.0,2025-09-09 12:04:00,2025-09-09 18:05,6:01:05,11840,12.0,완속
163,1,한전KDN 본사,58322,급속-200-01,2.0,2025-09-09 17:24:00,2025-09-09 17:58,0:33:42,7905,17.0,급속
164,1,한전KDN 본사,58322,급속-200-01,1.0,2025-09-09 17:39:00,2025-09-09 17:52,0:12:13,4993,17.0,급속
165,1,한전KDN 본사,58322,급속-100-02,1.0,2025-09-09 10:14:00,2025-09-09 10:37,0:22:34,5610,10.0,급속
166,1,한전KDN 본사,58322,급속-200-01,2.0,2025-09-09 07:32:00,2025-09-09 8:02,0:29:51,12242,7.0,급속
167,1,한전KDN 본사,58322,완속-007-01,1.0,2025-09-09 07:45:00,2025-09-09 7:45,0:00:01,0,7.0,완속
168,1,한전KDN 본사,58322,완속-007-01,5.0,2025-09-08 18:18:00,,13:42:52,0,18.0,완속
169,1,한전KDN 본사,58322,급속-200-01,1.0,2025-09-08 17:04:00,2025-09-08 17:26,0:21:45,12991,17.0,급속
170,1,한전KDN 본사,58322,완속-007-01,5.0,2025-09-05 18:40:00,2025-09-08 16:54,70:13:45,14397,18.0,완속
171,1,한전KDN 본사,58322,완속-007-01,1.0,2025-09-08 16:19:00,2025-09-08 16:19,0:00:02,0,16.0,완속
172,1,한전KDN 본사,58322,완속-007-01,1.0,2025-09-08 08:33:00,2025-09-08 13:44,5:10:51,11306,8.0,완속
173,1,한전KDN 본사,58322,급속-200-01,1.0,2025-09-08 08:28:00,2025-09-08 9:24,0:56:39,26243,8.0,급속
174,1,한전KDN 본사,58322,완속-007-01,2.0,2025-09-05 18:42:00,2025-09-08 8:40,61:58:13,32747,18.0,완속
175,1,한전KDN 본사,58322,완속-007-01,1.0,2025-09-06 10:39:00,2025-09-07 16:18,29:39:53,21093,10.0,완속
176,1,한전KDN 본사,58322,급속-100-02,1.0,2025-09-07 12:44:00,2025-09-07 13:11,0:27:27,12686,12.0,급속
177,1,한전KDN 본사,58322,급속-100-01,1.0,2025-09-06 13:00:00,2025-09-06 13:19,0:19:26,8112,13.0,급속
178,1,한전KDN 본사,58322,급속-100-02,1.0,2025-09-06 00:18:00,2025-09-06 0:30,0:12:35,3438,0.0,급속
179,1,한전KDN 본사,58322,완속-007-01,4.0,2025-09-05 07:21:00,2025-09-05 18:33,11:12:14,1915,7.0,완속
180,1,한전KDN 본사,58322,완속-007-01,1.0,2025-09-05 07:24:00,2025-09-05 15:39,8:15:32,15402,7.0,완속
181,1,한전KDN 본사,58322,완속-007-01,3.0,2025-09-05 08:45:00,2025-09-05 12:06,3:20:48,7425,8.0,완속
182,1,한전KDN 본사,58322,급속-100-02,2.0,2025-09-05 10:16:00,2025-09-05 11:11,0:55:54,22093,10.0,급속
183,1,한전KDN 본사,58322,완속-007-01,2.0,2025-09-05 09:26:00,2025-09-05 10:24,0:58:34,2081,9.0,완속
184,1,한전KDN 본사,58322,급속-200-01,2.0,2025-09-05 02:42:00,2025-09-05 3:10,0:27:40,11090,2.0,급속
185,1,한전KDN 본사,58322,완속-007-01,2.0,2025-09-04 16:30:00,2025-09-04 18:23,1:52:32,4128,16.0,완속
186,1,한전KDN 본사,58322,완속-007-01,1.0,2025-09-04 10:55:00,2025-09-04 17:30,6:34:37,13793,10.0,완속
187,1,한전KDN 본사,58322,완속-007-01,5.0,2025-09-04 13:56:00,2025-09-04 16:58,3:02:22,6831,13.0,완속
188,1,한전KDN 본사,58322,완속-007-01,3.0,2025-09-02 21:09:00,2025-09-04 14:37,41:28:03,21996,21.0,완속
189,1,한전KDN 본사,58322,급속-100-01,2.0,2025-09-04 12:56:00,2025-09-04 13:53,0:57:39,19901,12.0,급속
190,1,한전KDN 본사,58322,급속-200-01,1.0,2025-09-04 12:34:00,2025-09-04 12:49,0:15:16,7866,12.0,급속
191,1,한전KDN 본사,58322,급속-100-02,1.0,2025-09-04 08:46:00,2025-09-04 9:01,0:15:12,8140,8.0,급속
192,1,한전KDN 본사,58322,급속-200-01,1.0,2025-09-03 17:38:00,2025-09-03 17:55,0:16:30,10493,17.0,급속
193,1,한전KDN 본사,58322,완속-007-01,1.0,2025-09-03 08:29:00,2025-09-03 16:54,8:25:06,11855,8.0,완속
194,1,한전KDN 본사,58322,급속-100-01,1.0,2025-09-03 14:10:00,2025-09-03 14:59,0:49:47,16534,14.0,급속
195,1,한전KDN 본사,58322,급속-200-01,2.0,2025-09-03 00:55:00,2025-09-03 1:22,0:27:36,11187,0.0,급속
196,1,한전KDN 본사,58322,급속-100-02,1.0,2025-09-02 22:06:00,2025-09-02 22:58,0:51:13,16878,22.0,급속
197,1,한전KDN 본사,58322,급속-100-01,1.0,2025-09-02 18:51:00,2025-09-02 19:26,0:34:47,16121,18.0,급속
198,1,한전KDN 본사,58322,급속-100-01,2.0,2025-09-02 14:38:00,2025-09-02 15:47,1:08:39,25039,14.0,급속
199,1,한전KDN 본사,58322,완속-007-01,2.0,2025-09-02 15:13:00,2025-09-02 15:13,0:00:25,8,15.0,완속
200,1,한전KDN 본사,58322,급속-100-01,1.0,2025-09-02 13:12:00,2025-09-02 14:00,0:47:42,17450,13.0,급속
201,1,한전KDN 본사,58322,급속-200-01,1.0,2025-09-02 08:35:00,2025-09-02 9:29,0:54:08,25272,8.0,급속
202,1,한전KDN 본사,58322,급속-100-01,1.0,2025-09-01 19:31:00,2025-09-01 19:59,0:28:40,14678,19.0,급속
203,1,한전KDN 본사,58322,완속-007-01,1.0,2025-09-01 09:24:00,2025-09-01 17:53,8:28:40,12837,9.0,완속
204,1,한전KDN 본사,58322,급속-100-02,1.0,2025-09-01 15:28:00,2025-09-01 16:30,1:01:16,22537,15.0,급속
205,1,한전KDN 본사,58322,급속-100-01,1.0,2025-09-01 15:21:00,2025-09-01 15:44,0:22:27,4580,15.0,급속
206,1,한전KDN 본사,58322,급속-100-01,1.0,2025-09-01 15:20:00,2025-09-01 15:20,0:00:30,0,15.0,급속
207,1,한전KDN 본사,58322,급속-200-01,1.0,2025-09-01 13:34:00,2025-09-01 15:00,1:25:44,22631,13.0,급속
208,1,한전KDN 본사,58322,완속-007-01,3.0,2025-09-01 10:16:00,2025-09-01 12:17,2:01:07,4498,10.0,완속
