soc_now,current_hour,current_month,outside_temperature,charging_type,target_soc,load_score,charging_load,charging_fee,charging_speed,recommended_delay_hour
27,19,5,12,급속,96,2,15616.058394160584,13773.162162162162,0.0,5
35,11,4,-6,급속,70,1,20353.284671532845,7625.88679245283,0.0,2
68,15,11,14,급속,95,1,21822.481751824816,11311.535714285714,0.0,2
36,5,12,-5,완속,84,0,135.63138686131387,6856.0,4.638414975272287,0
34,16,8,37,완속,90,2,1889.412408759124,8598.652173913044,4.638414975272287,3
68,7,3,34,완속,98,0,392.536496350365,9388.360655737704,4.638414975272287,0
81,9,2,0,급속,78,1,16308.61313868613,13502.534246575342,0.0,2
10,11,2,20,급속,82,1,20353.284671532845,7625.88679245283,0.0,0
85,19,12,19,완속,71,2,2503.956204379562,13791.07142857143,4.638414975272287,3
53,19,6,18,완속,64,2,2503.956204379562,13791.07142857143,4.638414975272287,3
12,3,9,35,급속,97,0,1743.3576642335763,8935.75,0.0,0
69,16,3,6,급속,97,2,21504.3795620438,11396.470588235294,0.0,5
63,22,3,11,급속,92,0,7380.291970802919,14288.8,0.0,0
87,16,6,16,완속,80,2,1889.412408759124,8598.652173913044,4.638414975272287,3
89,11,6,-2,완속,75,1,971.543795620438,3664.714285714286,4.638414975272287,0
21,22,2,-4,급속,60,0,7380.291970802919,14288.8,0.0,0
70,15,6,35,완속,60,1,1583.302919708029,7393.829268292683,4.638414975272287,0
14,2,8,35,급속,77,0,1900.14598540146,9863.0,0.0,0
61,19,9,7,급속,82,2,15616.058394160584,13773.162162162162,0.0,5
15,22,3,23,완속,88,0,1912.2262773722628,6773.142857142857,4.638414975272287,0
48,22,8,4,완속,95,0,1912.2262773722628,6773.142857142857,4.638414975272287,0
62,4,10,29,완속,95,0,126.97080291970804,0.0,4.638414975272287,0
32,20,5,0,완속,96,2,2199.098540145985,11149.0,4.638414975272287,3
23,14,7,11,급속,88,1,21480.14598540146,11760.470588235294,0.0,2
33,18,9,29,급속,74,2,17997.080291970804,11109.414634146342,0.0,5
48,7,1,33,완속,62,0,392.536496350365,9388.360655737704,4.638414975272287,0
82,5,2,35,급속,78,0,4160.14598540146,0.0,0.0,2
35,0,6,17,급속,93,0,3240.43795620438,7813.111111111111,0.0,0
75,14,12,20,완속,97,1,1269.0182481751824,5797.65625,4.638414975272287,0
22,15,8,20,완속,89,1,1583.302919708029,7393.829268292683,4.638414975272287,0
13,14,3,26,완속,81,1,1269.0182481751824,5797.65625,4.638414975272287,0
16,12,8,22,급속,93,1,21800.729927007294,12676.586206896553,0.0,0
25,21,1,-1,급속,93,2,9896.496350364963,11003.153846153846,0.0,3
89,0,9,-6,급속,60,0,3240.43795620438,7813.111111111111,0.0,0
18,12,2,15,급속,88,1,21800.729927007294,12676.586206896553,0.0,0
12,14,4,22,완속,72,1,1269.0182481751824,5797.65625,4.638414975272287,0
12,9,11,-1,완속,86,1,764.0474452554745,6252.142857142857,4.638414975272287,0
80,22,5,34,완속,88,0,1912.2262773722628,6773.142857142857,4.638414975272287,0
68,4,3,37,급속,67,0,2609.0510948905107,4826.0,0.0,2
88,6,12,13,완속,96,0,228.67518248175185,21824.5,4.638414975272287,1
83,9,8,1,완속,94,1,764.0474452554745,6252.142857142857,4.638414975272287,0
22,1,4,3,급속,97,0,2484.6715328467158,9582.666666666666,0.0,0
72,9,11,12,완속,78,1,764.0474452554745,6252.142857142857,4.638414975272287,0
25,18,2,10,급속,91,2,17997.080291970804,11109.414634146342,0.0,5
33,11,3,-5,급속,60,1,20353.284671532845,7625.88679245283,0.0,2
25,8,6,31,완속,80,1,656.007299270073,6261.8421052631575,4.638414975272287,0
67,6,4,16,완속,74,0,228.67518248175185,21824.5,4.638414975272287,1
13,11,5,26,급속,71,1,20353.284671532845,7625.88679245283,0.0,0
89,9,2,14,급속,94,1,16308.61313868613,13502.534246575342,0.0,2
67,18,7,-10,완속,91,2,2701.284671532847,11538.945945945949,4.638414975272287,3
54,10,4,27,급속,90,1,17989.48905109489,10217.520547945203,0.0,2
30,6,5,32,급속,71,0,7192.846715328467,9158.0,0.0,2
42,8,11,7,급속,94,1,13693.722627737228,11117.287671232876,0.0,0
84,9,3,-3,완속,76,1,764.0474452554745,6252.142857142857,4.638414975272287,0
66,16,12,3,급속,81,2,21504.3795620438,11396.470588235294,0.0,5
66,8,5,15,급속,77,1,13693.722627737228,11117.287671232876,0.0,0
54,3,11,-9,완속,99,0,177.32481751824818,0.0,4.638414975272287,0
25,8,12,0,완속,88,1,656.007299270073,6261.8421052631575,4.638414975272287,0
39,20,3,-10,급속,63,2,12761.60583941606,13008.4375,0.0,3
50,16,8,25,급속,69,2,21504.3795620438,11396.470588235294,0.0,5
47,23,8,13,완속,82,0,1732.5766423357663,4524.6,4.638414975272287,0
75,20,4,11,급속,75,2,12761.60583941606,13008.4375,0.0,3
48,19,3,-1,급속,93,2,15616.058394160584,13773.162162162162,0.0,5
14,22,9,32,완속,72,0,1912.2262773722628,6773.142857142857,4.638414975272287,0
78,9,2,35,급속,76,1,16308.61313868613,13502.534246575342,0.0,4
52,5,3,-4,완속,61,0,135.63138686131387,6856.0,4.638414975272287,0
31,13,1,-1,완속,67,1,1061.036496350365,6093.153846153846,4.638414975272287,0
89,19,1,0,급속,81,2,15616.058394160584,13773.162162162162,0.0,5
25,4,5,36,완속,81,0,126.97080291970804,0.0,4.638414975272287,0
53,18,5,9,급속,64,2,17997.080291970804,11109.414634146342,0.0,5
76,13,5,13,급속,61,1,21090.218978102188,12984.285714285714,0.0,2
35,6,3,1,완속,86,0,228.67518248175185,21824.5,4.638414975272287,1
71,13,11,6,완속,97,1,1061.036496350365,6093.153846153846,4.638414975272287,0
60,4,11,8,완속,82,0,126.97080291970804,0.0,4.638414975272287,0
78,11,11,-9,완속,87,1,971.543795620438,3664.714285714286,4.638414975272287,0
20,18,6,-3,완속,60,2,2701.284671532847,11538.945945945949,4.638414975272287,3
24,22,2,25,완속,90,0,1912.2262773722628,6773.142857142857,4.638414975272287,0
55,1,3,16,급속,69,0,2484.6715328467158,9582.666666666666,0.0,0
43,15,2,17,완속,81,1,1583.302919708029,7393.829268292683,4.638414975272287,0
82,21,3,-2,급속,85,2,9896.496350364963,11003.153846153846,0.0,3
34,16,12,4,완속,85,2,1889.412408759124,8598.652173913044,4.638414975272287,3
88,9,1,20,급속,81,1,16308.61313868613,13502.534246575342,0.0,2
89,9,12,3,급속,93,1,16308.61313868613,13502.534246575342,0.0,2
44,21,8,24,급속,65,2,9896.496350364963,11003.153846153846,0.0,3
39,14,11,37,완속,86,1,1269.0182481751824,5797.65625,4.638414975272287,0
76,10,8,-1,완속,77,1,865.3175182481751,6055.105263157895,4.638414975272287,0
80,17,12,12,완속,94,2,2330.8722627737225,7435.382352941177,4.638414975272287,3
32,10,9,34,완속,87,1,865.3175182481751,6055.105263157895,4.638414975272287,0
20,15,6,-10,급속,72,1,21822.481751824816,11311.535714285714,0.0,2
16,21,3,37,완속,60,2,2069.4963503649637,6730.16,4.638414975272287,0
79,5,1,24,완속,85,0,135.63138686131387,6856.0,4.638414975272287,0
18,21,9,33,완속,66,2,2069.4963503649637,6730.16,4.638414975272287,0
18,11,8,-4,완속,68,1,971.543795620438,3664.714285714286,4.638414975272287,0
50,5,6,8,급속,91,0,4160.14598540146,0.0,0.0,0
66,0,8,-3,급속,88,0,3240.43795620438,7813.111111111111,0.0,0
33,6,1,30,급속,71,0,7192.846715328467,9158.0,0.0,0
72,14,10,3,완속,77,1,1269.0182481751824,5797.65625,4.638414975272287,0
27,22,7,22,급속,72,0,7380.291970802919,14288.8,0.0,0
38,21,7,20,급속,92,2,9896.496350364963,11003.153846153846,0.0,3
43,21,7,3,완속,73,2,2069.4963503649637,6730.16,4.638414975272287,3
58,10,1,10,완속,77,1,865.3175182481751,6055.105263157895,4.638414975272287,0
86,13,8,25,완속,98,1,1061.036496350365,6093.153846153846,4.638414975272287,0
72,0,11,35,완속,61,0,680.1240875912408,6223.0,4.638414975272287,0
29,9,10,24,급속,77,1,16308.61313868613,13502.534246575342,0.0,2
66,3,5,3,급속,83,0,1743.3576642335763,8935.75,0.0,0
59,22,8,6,완속,92,0,1912.2262773722628,6773.142857142857,4.638414975272287,0
42,11,10,20,완속,89,1,971.543795620438,3664.714285714286,4.638414975272287,0
36,1,6,10,급속,76,0,2484.6715328467158,9582.666666666666,0.0,0
80,7,3,-9,완속,83,0,392.536496350365,9388.360655737704,4.638414975272287,0
80,21,2,-5,급속,89,2,9896.496350364963,11003.153846153846,0.0,3
36,1,10,36,급속,99,0,2484.6715328467158,9582.666666666666,0.0,2
64,23,7,-9,급속,79,0,4851.240875912409,5016.0,0.0,0
23,16,9,1,완속,78,2,1889.412408759124,8598.652173913044,4.638414975272287,3
83,11,6,15,급속,72,1,20353.284671532845,7625.88679245283,0.0,2
36,17,8,3,급속,69,2,20048.029197080294,10052.12,0.0,5
85,2,2,13,완속,71,0,332.7554744525547,8723.0,4.638414975272287,0
82,6,2,26,완속,64,0,228.67518248175185,21824.5,4.638414975272287,1
83,20,4,24,급속,95,2,12761.60583941606,13008.4375,0.0,3
65,17,7,37,완속,81,2,2330.8722627737225,7435.382352941177,4.638414975272287,3
12,21,1,22,완속,98,2,2069.4963503649637,6730.16,4.638414975272287,0
60,9,11,26,완속,62,1,764.0474452554745,6252.142857142857,4.638414975272287,0
75,17,3,6,급속,62,2,20048.029197080294,10052.12,0.0,5
83,0,11,-10,급속,84,0,3240.43795620438,7813.111111111111,0.0,0
20,15,3,-8,급속,77,1,21822.481751824816,11311.535714285714,0.0,2
11,22,4,-8,급속,64,0,7380.291970802919,14288.8,0.0,0
77,4,10,-9,급속,95,0,2609.0510948905107,4826.0,0.0,0
47,15,12,10,급속,80,1,21822.481751824816,11311.535714285714,0.0,2
72,21,10,-8,급속,99,2,9896.496350364963,11003.153846153846,0.0,3
38,16,2,8,완속,97,2,1889.412408759124,8598.652173913044,4.638414975272287,3
22,10,12,25,급속,66,1,17989.48905109489,10217.520547945203,0.0,2
28,7,3,37,급속,71,0,9891.970802919708,16625.809523809523,0.0,3
61,0,7,16,급속,90,0,3240.43795620438,7813.111111111111,0.0,0
89,2,1,26,완속,61,0,332.7554744525547,8723.0,4.638414975272287,0
57,19,5,7,완속,74,2,2503.956204379562,13791.07142857143,4.638414975272287,3
23,19,11,23,완속,72,2,2503.956204379562,13791.07142857143,4.638414975272287,3
18,2,1,-10,급속,81,0,1900.14598540146,9863.0,0.0,0
18,6,6,0,급속,67,0,7192.846715328467,9158.0,0.0,0
13,20,5,19,급속,60,2,12761.60583941606,13008.4375,0.0,0
58,15,3,2,급속,87,1,21822.481751824816,11311.535714285714,0.0,2
86,23,11,11,급속,68,0,4851.240875912409,5016.0,0.0,0
58,19,6,16,완속,61,2,2503.956204379562,13791.07142857143,4.638414975272287,3
70,7,4,-3,급속,99,0,9891.970802919708,16625.809523809523,0.0,1
33,17,7,19,급속,66,2,20048.029197080294,10052.12,0.0,5
41,19,4,-5,급속,88,2,15616.058394160584,13773.162162162162,0.0,5
82,14,3,26,급속,77,1,21480.14598540146,11760.470588235294,0.0,2
50,2,2,17,급속,93,0,1900.14598540146,9863.0,0.0,0
58,5,8,28,급속,89,0,4160.14598540146,0.0,0.0,0
47,4,12,33,완속,83,0,126.97080291970804,0.0,4.638414975272287,0
33,12,6,36,급속,75,1,21800.729927007294,12676.586206896553,0.0,4
56,17,9,7,완속,65,2,2330.8722627737225,7435.382352941177,4.638414975272287,3
72,5,8,27,급속,81,0,4160.14598540146,0.0,0.0,0
61,12,4,24,급속,64,1,21800.729927007294,12676.586206896553,0.0,2
60,2,8,1,완속,96,0,332.7554744525547,8723.0,4.638414975272287,0
37,21,3,20,완속,85,2,2069.4963503649637,6730.16,4.638414975272287,3
56,3,9,23,급속,61,0,1743.3576642335763,8935.75,0.0,0
19,19,8,20,완속,98,2,2503.956204379562,13791.07142857143,4.638414975272287,0
67,6,11,1,완속,77,0,228.67518248175185,21824.5,4.638414975272287,1
24,9,6,36,급속,80,1,16308.61313868613,13502.534246575342,0.0,4
35,11,2,-2,완속,61,1,971.543795620438,3664.714285714286,4.638414975272287,0
30,19,12,11,급속,61,2,15616.058394160584,13773.162162162162,0.0,5
13,1,1,16,완속,96,0,531.7189781021898,0.0,4.638414975272287,0
82,20,9,13,완속,82,2,2199.098540145985,11149.0,4.638414975272287,3
39,19,3,32,급속,75,2,15616.058394160584,13773.162162162162,0.0,7
69,16,9,-5,급속,91,2,21504.3795620438,11396.470588235294,0.0,5
39,2,1,5,완속,69,0,332.7554744525547,8723.0,4.638414975272287,0
14,20,4,25,급속,69,2,12761.60583941606,13008.4375,0.0,0
41,19,5,11,완속,83,2,2503.956204379562,13791.07142857143,4.638414975272287,3
29,13,5,-5,완속,89,1,1061.036496350365,6093.153846153846,4.638414975272287,0
29,13,6,-6,급속,74,1,21090.218978102188,12984.285714285714,0.0,2
72,21,8,3,급속,89,2,9896.496350364963,11003.153846153846,0.0,3
32,7,8,29,급속,98,0,9891.970802919708,16625.809523809523,0.0,1
27,8,11,16,급속,85,1,13693.722627737228,11117.287671232876,0.0,0
45,16,2,23,완속,99,2,1889.412408759124,8598.652173913044,4.638414975272287,3
60,2,5,30,급속,98,0,1900.14598540146,9863.0,0.0,0
65,9,7,26,급속,78,1,16308.61313868613,13502.534246575342,0.0,2
73,13,5,17,완속,72,1,1061.036496350365,6093.153846153846,4.638414975272287,0
16,17,2,0,완속,66,2,2330.8722627737225,7435.382352941177,4.638414975272287,0
57,1,10,-6,완속,67,0,531.7189781021898,0.0,4.638414975272287,0
75,7,8,30,완속,91,0,392.536496350365,9388.360655737704,4.638414975272287,0
14,6,4,24,완속,65,0,228.67518248175185,21824.5,4.638414975272287,0
57,3,7,35,완속,99,0,177.32481751824818,0.0,4.638414975272287,0
64,19,5,15,완속,64,2,2503.956204379562,13791.07142857143,4.638414975272287,3
74,3,2,36,급속,83,0,1743.3576642335763,8935.75,0.0,2
48,5,7,2,급속,93,0,4160.14598540146,0.0,0.0,0
15,3,10,-7,급속,96,0,1743.3576642335763,8935.75,0.0,0
20,0,7,-8,급속,98,0,3240.43795620438,7813.111111111111,0.0,0
27,1,5,-9,급속,80,0,2484.6715328467158,9582.666666666666,0.0,0
82,13,8,21,완속,75,1,1061.036496350365,6093.153846153846,4.638414975272287,0
83,21,10,22,급속,97,2,9896.496350364963,11003.153846153846,0.0,3
80,20,7,-4,급속,65,2,12761.60583941606,13008.4375,0.0,3
54,4,7,-6,완속,60,0,126.97080291970804,0.0,4.638414975272287,0
39,9,3,5,급속,61,1,16308.61313868613,13502.534246575342,0.0,2
17,8,9,-5,완속,60,1,656.007299270073,6261.8421052631575,4.638414975272287,0
73,7,6,-10,완속,75,0,392.536496350365,9388.360655737704,4.638414975272287,0
47,2,4,28,급속,91,0,1900.14598540146,9863.0,0.0,0
13,21,7,31,급속,99,2,9896.496350364963,11003.153846153846,0.0,0
61,5,1,3,급속,90,0,4160.14598540146,0.0,0.0,0
56,10,3,29,완속,82,1,865.3175182481751,6055.105263157895,4.638414975272287,0
32,5,9,-9,급속,92,0,4160.14598540146,0.0,0.0,0
76,22,9,1,급속,87,0,7380.291970802919,14288.8,0.0,0
14,18,12,16,급속,74,2,17997.080291970804,11109.414634146342,0.0,0
36,19,10,3,급속,76,2,15616.058394160584,13773.162162162162,0.0,5
44,7,6,-7,급속,75,0,9891.970802919708,16625.809523809523,0.0,1
73,20,3,0,완속,81,2,2199.098540145985,11149.0,4.638414975272287,3
80,8,5,8,급속,78,1,13693.722627737228,11117.287671232876,0.0,0
32,11,11,6,급속,65,1,20353.284671532845,7625.88679245283,0.0,2
22,17,8,1,완속,86,2,2330.8722627737225,7435.382352941177,4.638414975272287,3
76,23,8,2,급속,98,0,4851.240875912409,5016.0,0.0,0
39,10,3,2,완속,77,1,865.3175182481751,6055.105263157895,4.638414975272287,0
19,16,12,21,완속,86,2,1889.412408759124,8598.652173913044,4.638414975272287,0
12,3,1,-2,완속,63,0,177.32481751824818,0.0,4.638414975272287,0
76,18,9,35,급속,74,2,17997.080291970804,11109.414634146342,0.0,7
24,2,12,29,완속,83,0,332.7554744525547,8723.0,4.638414975272287,0
46,11,10,7,완속,88,1,971.543795620438,3664.714285714286,4.638414975272287,0
71,6,8,5,완속,85,0,228.67518248175185,21824.5,4.638414975272287,1
58,18,11,22,완속,74,2,2701.284671532847,11538.945945945949,4.638414975272287,3
53,18,9,22,급속,80,2,17997.080291970804,11109.414634146342,0.0,5
17,0,1,34,급속,97,0,3240.43795620438,7813.111111111111,0.0,0
48,13,5,31,급속,92,1,21090.218978102188,12984.285714285714,0.0,4
25,2,12,27,완속,92,0,332.7554744525547,8723.0,4.638414975272287,0
77,1,12,8,완속,64,0,531.7189781021898,0.0,4.638414975272287,0
38,5,7,19,완속,80,0,135.63138686131387,6856.0,4.638414975272287,0
84,1,3,-2,급속,98,0,2484.6715328467158,9582.666666666666,0.0,0
49,18,1,7,완속,70,2,2701.284671532847,11538.945945945949,4.638414975272287,3
76,14,1,0,급속,94,1,21480.14598540146,11760.470588235294,0.0,2
65,8,2,22,급속,81,1,13693.722627737228,11117.287671232876,0.0,0
26,16,10,-3,완속,77,2,1889.412408759124,8598.652173913044,4.638414975272287,3
38,1,8,-3,급속,76,0,2484.6715328467158,9582.666666666666,0.0,0
13,12,3,3,급속,63,1,21800.729927007294,12676.586206896553,0.0,0
65,4,9,20,급속,91,0,2609.0510948905107,4826.0,0.0,0
13,17,7,13,완속,78,2,2330.8722627737225,7435.382352941177,4.638414975272287,0
19,19,9,-6,완속,67,2,2503.956204379562,13791.07142857143,4.638414975272287,0
87,7,6,37,급속,64,0,9891.970802919708,16625.809523809523,0.0,3
41,21,11,-2,급속,62,2,9896.496350364963,11003.153846153846,0.0,3
10,7,9,6,급속,95,0,9891.970802919708,16625.809523809523,0.0,0
81,9,5,-7,완속,87,1,764.0474452554745,6252.142857142857,4.638414975272287,0
57,1,4,26,급속,75,0,2484.6715328467158,9582.666666666666,0.0,0
89,10,1,31,급속,65,1,17989.48905109489,10217.520547945203,0.0,4
89,23,1,34,급속,72,0,4851.240875912409,5016.0,0.0,2
12,17,8,6,급속,77,2,20048.029197080294,10052.12,0.0,0
41,20,1,-1,완속,77,2,2199.098540145985,11149.0,4.638414975272287,3
72,18,1,-6,급속,72,2,17997.080291970804,11109.414634146342,0.0,5
77,19,8,1,급속,66,2,15616.058394160584,13773.162162162162,0.0,5
29,8,5,11,완속,81,1,656.007299270073,6261.8421052631575,4.638414975272287,0
51,11,2,14,완속,74,1,971.543795620438,3664.714285714286,4.638414975272287,0
67,15,8,33,완속,81,1,1583.302919708029,7393.829268292683,4.638414975272287,0
43,13,4,34,완속,84,1,1061.036496350365,6093.153846153846,4.638414975272287,0
68,17,4,34,급속,87,2,20048.029197080294,10052.12,0.0,7
53,7,4,-5,급속,67,0,9891.970802919708,16625.809523809523,0.0,1
